Female Total,Female Percentage,Male Total,Male Percentage,Zipcode,Grand Total
374,50.4,368,49.6,26750,742
2653,47.59,2922,52.41,26753,5575
376,45.19,456,54.81,26755,832
3646,55.23,2955,44.77,26757,6601
165,32.42,344,67.58,26761,509
1016,51.5,957,48.5,26763,1973
2016,53.08,1782,46.92,26764,3798
364,58.71,256,41.29,26767,620
485,44.62,602,55.38,26801,1087
548,47.2,613,52.8,26802,1161
368,41.53,518,58.47,26804,886
1311,50.83,1268,49.17,26807,2579
451,53.75,388,46.25,26808,839
222,46.44,256,53.56,26810,478
610,49.8,615,50.2,26812,1225
218,54.09,185,45.91,26814,403
398,52.72,357,47.28,26815,755
89,41.98,123,58.02,26817,212
420,53.85,360,46.15,26818,780
1338,52.22,1224,47.78,26833,2562
3736,51.88,3465,48.12,26836,7201
324,52.01,299,47.99,26845,623
3121,50.56,3052,49.44,26847,6173
990,47.71,1085,52.29,26851,2075
369,41.14,528,58.86,26852,897
365,52.37,332,47.63,26855,697
355,52.83,317,47.17,26866,672
321,51.77,299,48.23,26884,620
